date,area_I_0,area_O_0,area_I_1,area_O_1,area_I_2,area_O_2,area_I_3,area_O_3,area_I_4,area_O_4,area_I_5,area_O_5,area_I_6,area_O_6,area_I_7,area_O_7,area_I_8,area_O_8,area_I_9,area_O_9,area_I_10,area_O_10,area_I_11,area_O_11,area_I_12,area_O_12,area_I_13,area_O_13,area_I_14,area_O_14,area_I_15,area_O_15,area_I_16,area_O_16,area_I_17,area_O_17,area_I_18,area_O_18,area_I_19,area_O_19,area_I_20,area_O_20,area_I_21,area_O_21,area_I_22,area_O_22,area_I_23,area_O_23,area_I_24,area_O_24,area_I_25,area_O_25,area_I_26,area_O_26,area_I_27,area_O_27,area_I_28,area_O_28,area_I_29,area_O_29,area_I_30,area_O_30,area_I_31,area_O_31,area_I_32,area_O_32,area_I_33,area_O_33,area_I_34,area_O_34,area_I_35,area_O_35,area_I_36,area_O_36,area_I_37,area_O_37,area_I_38,area_O_38,area_I_39,area_O_39,area_I_40,area_O_40,area_I_41,area_O_41,area_I_42,area_O_42,area_I_43,area_O_43,area_I_44,area_O_44,area_I_45,area_O_45,area_I_46,area_O_46,area_I_47,area_O_47,area_I_48,area_O_48,area_I_49,area_O_49,area_I_50,area_O_50,area_I_51,area_O_51,area_I_52,area_O_52,area_I_53,area_O_53,area_I_54,area_O_54,area_I_55,area_O_55,area_I_56,area_O_56,area_I_57,area_O_57,area_I_58,area_O_58,area_I_59,area_O_59,area_I_60,area_O_60,area_I_61,area_O_61,area_I_62,area_O_62,area_I_63,area_O_63,area_I_64,area_O_64,area_I_65,area_O_65,area_I_66,area_O_66,area_I_67,area_O_67,area_I_68,area_O_68,area_I_69,area_O_69
2014-06-12T00:00:01,124,92,56,56,0,7,46,44,45,40,39,49,15,19,11,11,13,6,52,44,41,42,46,45,23,36,22,25,31,33,25,26,20,19,21,18,19,23,33,27,52,51,13,17,11,13,31,29,17,21,24,30,23,20,23,24,23,18,28,26,24,25,17,22,12,21,35,35,19,20,24,26,1,2,4,1,6,7,1,2,3,2,5,5,3,6,6,6,2,3,1,2,4,2,4,3,4,3,4,5,7,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,6,5,5,0,1,7,2,2,1,1,17,13,3,6,7,7,5,5,2,3,5,4,1,2
2014-05-25T00:00:01,23,19,1,9,0,3,21,19,48,44,9,6,7,8,4,5,16,21,10,8,46,51,26,32,1,4,9,13,12,10,6,8,4,5,9,7,17,21,6,10,16,10,7,6,5,7,19,17,31,32,29,9,10,8,3,8,13,7,7,7,5,8,10,9,18,16,7,7,12,12,1,2,2,2,2,4,12,12,4,2,1,3,0,0,0,0,4,2,9,11,1,0,0,4,4,2,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,2,2,1,1,0,0,11,7,2,3,2,4,0,0,2,3,0,1,7,5
2014-08-03T00:00:01,16,18,8,6,2,6,6,12,0,23,1,2,1,3,3,5,11,1,7,8,26,13,17,11,5,2,11,18,12,4,9,2,6,4,2,5,11,12,3,10,14,11,7,4,10,10,15,7,14,15,28,22,6,4,4,6,6,8,3,8,7,3,9,9,10,11,0,5,1,3,4,2,2,2,1,1,4,6,0,1,2,3,0,2,3,4,3,3,4,0,1,1,4,3,8,9,6,5,2,2,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,0,0,4,4,0,0,4,4,1,0,2,2,1,2,0,0,1,1,2,1
2014-08-07T00:00:01,149,101,59,60,11,11,54,60,0,52,44,46,25,23,7,12,17,15,48,46,61,49,42,30,26,39,35,49,27,20,25,24,24,14,15,21,23,25,27,23,59,39,14,31,11,8,27,22,50,42,36,34,30,19,32,30,26,23,30,29,25,22,26,18,16,28,0,31,23,28,20,19,6,4,0,3,8,7,2,3,3,4,3,3,5,9,4,3,5,4,4,4,5,3,3,3,7,5,5,4,7,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,3,4,3,3,2,1,0,1,2,11,7,4,4,4,4,4,3,0,4,3,3,1,3
2014-05-05T00:00:01,106,117,67,40,0,7,45,39,57,55,35,52,12,15,9,13,15,8,37,34,46,47,46,33,28,31,34,32,29,27,24,15,16,13,16,14,24,23,20,21,61,51,5,21,14,13,22,19,30,32,29,35,23,15,29,30,15,19,26,26,23,16,28,29,10,25,30,27,14,31,17,17,2,1,5,5,7,9,7,7,1,2,3,4,4,9,1,1,0,0,3,3,0,1,4,3,3,3,4,4,9,1,2,2,0,0,1,1,0,0,1,1,0,0,0,0,2,2,4,3,3,6,2,1,0,0,15,14,6,5,3,7,5,8,3,3,5,5,9,3
2014-08-19T00:00:01,161,91,66,64,3,6,38,44,46,54,47,49,28,27,9,16,8,8,54,53,48,38,52,58,33,43,32,32,25,24,22,27,21,18,8,18,27,33,29,20,50,40,10,22,24,21,29,27,36,38,35,35,17,17,32,28,14,22,26,27,21,18,20,28,14,27,34,27,16,35,18,16,3,2,6,5,7,8,4,4,5,4,2,1,2,4,1,1,1,1,1,0,3,5,4,4,3,4,1,4,2,0,0,3,2,1,0,0,1,1,3,1,1,1,0,0,7,4,7,6,4,3,2,5,1,3,21,15,7,7,9,9,6,9,0,3,7,5,2,4
2014-04-01T00:00:01,54,52,20,21,5,4,19,14,17,18,22,30,1,7,6,6,5,3,21,18,19,21,27,21,9,13,13,11,5,11,9,12,7,8,6,3,7,5,16,10,26,22,5,12,6,3,7,8,16,11,20,18,13,11,10,9,13,11,11,12,15,10,6,9,2,12,16,12,9,15,11,14,0,1,0,0,7,4,0,0,2,1,2,2,0,4,2,1,0,1,3,3,0,0,2,0,2,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,7,7,5,2,3,5,2,2,0,0,2,2,1,2
2014-07-07T00:00:01,142,97,56,53,6,4,60,55,49,54,57,50,22,21,12,14,11,10,43,39,46,42,39,48,25,35,29,38,22,27,19,18,19,19,20,12,22,21,24,27,59,51,0,22,10,13,29,29,26,31,31,24,11,13,24,25,24,20,19,20,22,20,14,17,15,27,28,32,21,28,26,26,2,3,9,6,5,7,1,1,3,4,2,3,2,4,5,4,1,1,1,1,3,2,4,4,1,3,3,3,5,1,1,2,0,0,0,0,1,0,1,1,3,2,0,1,2,2,4,0,5,7,2,4,3,3,21,21,6,6,7,8,9,9,6,5,7,6,3,4
2014-05-14T00:00:01,127,101,53,54,5,12,40,43,64,57,35,46,17,16,13,16,14,13,40,30,38,28,69,63,27,32,27,26,19,27,28,29,22,18,17,19,18,23,19,21,73,64,13,21,17,18,21,21,0,26,37,34,15,13,26,22,22,24,25,28,31,25,18,11,21,23,35,34,25,33,17,11,3,2,5,5,10,9,5,5,1,4,2,3,0,5,1,2,6,5,1,1,6,6,4,4,2,3,3,2,3,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,5,4,2,2,3,1,0,1,1,10,10,2,4,3,3,3,5,2,1,4,2,2,1
2014-08-28T00:00:01,160,95,74,69,5,7,53,52,47,59,60,63,18,22,11,17,14,8,48,47,46,41,62,68,29,48,32,46,26,23,25,37,18,17,30,23,24,22,28,24,63,57,12,18,23,14,28,28,38,39,35,26,23,13,26,30,25,21,36,28,25,34,21,15,8,31,31,46,16,32,18,20,2,2,7,5,4,7,1,1,3,1,4,4,3,5,2,3,1,3,4,3,1,2,6,1,3,5,1,2,12,8,7,6,0,0,0,0,0,0,1,2,0,0,0,0,0,3,2,3,1,0,3,1,1,0,17,11,2,1,9,5,6,7,0,8,2,2,0,2
