id,formation_energy_ev_natom,bandgap_energy_ev,predict1
1,0.068,3.4387,1.70574750751
2,0.249,2.921,3.75133866072
3,0.1821,2.7438,3.49643240869
4,0.2172,3.3492,4.24315288663
5,0.0505,1.3793,2.66463659704
6,0.2209,2.1633,3.14251427352
7,0.0562,0.9854,1.92447309196
8,0.2243,1.7179,5.51272696257
9,0.2193,2.6257,3.87941715121
10,0.1994,2.5187,2.7460796386
11,0.0581,3.8723,1.46565518528
12,0.259,2.8805,3.8627974242
13,0.0535,3.9039,1.17641678452
14,0.078,2.5371,2.24958641827
15,0.39,0.9251,4.87071728706
16,0.166,1.5852,4.52606704831
17,0.2544,2.2913,4.17664676905
18,0.0503,1.1844,1.59652326256
19,0.1919,2.567,3.97247444093
20,0.2063,1.5596,4.25875622034
21,0.0918,1.1365,2.52697200328
22,0.0566,3.9691,0.940364856273
23,0.2027,2.9122,3.57436427474
24,0.2753,1.1811,3.60281698406
25,0.0916,4.0371,1.57972873002
26,0.1783,3.3353,2.6999129951
27,0.3518,0.976,6.32217603922
28,0.2237,1.9672,3.21960058808
29,0.1898,1.1496,2.35254061967
30,0.2106,3.3923,3.32207706571
31,0.3269,1.546,4.19203141332
32,0.2721,0.4095,5.00454518199
33,0.2342,2.1264,5.25153526664
34,0.1469,2.4457,3.7904573828
35,0.1259,1.3632,2.65357346833
36,0.1064,1.9758,3.66640967131
37,0.2341,1.9983,5.66977244616
38,0.2993,1.346,4.24118356407
39,0.366,1.3392,5.4067285955
40,0.2545,0.927,3.07870414853
41,0.1647,1.5402,3.64219671488
42,0.1573,3.4388,3.30991226435
43,0.2876,2.27,4.59465415776
44,0.2093,3.9989,4.03365640342
45,0.2108,2.3055,3.96495400369
46,0.0219,2.8387,2.18100357056
47,0.3124,2.0234,4.09413430095
48,0.2123,2.5317,3.28701493144
49,0.2456,0.6786,4.98013147712
50,0.2261,3.4819,4.21020105481
51,0.1608,2.5143,3.97540128231
52,0.1117,2.9429,2.99490721524
53,0.0908,0.9961,1.71497385204
54,0.385,1.2886,5.84422770143
55,0.1185,2.3298,3.1593362242
56,0.0467,3.7759,0.795432064682
