"('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)",5,"Bond_('Al', 'O')_mean","Bond_('Al', 'O')_std","Bond_('Ga', 'O')_mean","Bond_('Ga', 'O')_std","Bond_('In', 'O')_mean","Bond_('In', 'O')_std",IonChar_mean,IonChar_std,val_mean,val_std,grp_mean,grp_std,period_mean,period_std,p_mean,p_std,Norm0,Norm2,Norm3,Norm5,Norm7,Norm10
47.0,34.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,16.0,42.0,38.0,16.0,6.0,6.0,22.0,79.0,6.0,106.0,151.0,100.0,0.0,0.0,0.0,0.0,340.0,158.0,600.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,65.0,90.0,57.0,1,1.95300326448,0.152132651869,1.95599472944,0.117986076201,,,0.538098360656,0.0391743496365,0.0,2.44948974278,4.8,1.46969384567,1.55,0.739932429347,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758
48.0,12.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,22.0,44.0,28.0,0.0,10.0,10.0,62.0,19.0,68.0,102.0,51.0,0.0,0.0,0.0,0.0,280.0,198.0,408.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,56.0,60.0,31.0,2,1.95940111879,0.106750186795,1.93659260804,0.111503998896,,,0.532074074074,0.0405475723582,0.0,2.44948974278,4.8,1.46969384567,1.55,0.739932429347,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758
10.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,26.0,10.0,2.0,0.0,0.0,0.0,36.0,0.0,40.0,35.0,38.0,0.0,0.0,0.0,0.0,98.0,28.0,118.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,9.0,9.0,3,1.94791475536,0.0604394377064,1.86958145853,0.0822292888955,,,0.552090909091,0.0316269578494,0.0,2.44948974278,4.8,1.46969384567,1.475,0.631961232988,2.8,1.46969384567,3.0,0.686476510887,0.63058985656,0.605497529398,0.601165898084,0.600130331078
0.0,0.0,0.0,0.0,11.0,0.0,12.0,8.0,13.0,0.0,0.0,6.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,28.0,19.0,24.0,0.0,0.0,0.0,0.0,76.0,36.0,64.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.01974667986,0.0690741705898,,,2.02680103458,0.0674311489823,0.548025,0.0308094851466,0.0,2.44948974278,4.8,1.46969384567,1.6,0.916515138991,2.8,1.46969384567,3.0,0.678232998313,0.624879976953,0.603719041214,0.600667715689,0.600058569008
0.0,0.0,0.0,0.0,33.0,21.0,21.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,21.0,24.0,280.0,198.0,264.0,20.0,0.0,0.0,0.0,20.0,75.0,7.0,103.0,82.0,39.0,5,,,2.01643627245,0.0981473916944,2.19500388557,0.000159584581131,0.488972222222,0.00598835031592,0.0,2.44948974278,4.8,1.46969384567,1.95,1.20312094155,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758
20.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,6.0,6.0,0.0,6.0,6.0,23.0,0.0,26.0,25.0,16.0,0.0,0.0,0.0,0.0,98.0,28.0,118.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,19.0,13.0,6,1.96113410832,0.0679099942567,1.9489960097,0.0774670691777,,,0.527863636364,0.0409576227277,0.0,2.44948974278,4.8,1.46969384567,1.575,0.770957197255,2.8,1.46969384567,3.0,0.664266512779,0.615124790153,0.601138849467,0.600104722467,0.600003566837
0.0,1.0,0.0,0.0,121.0,0.0,138.0,232.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,6.0,6.0,13.0,0.0,6.0,4.0,336.0,222.0,528.0,102.0,106.0,0.0,54.0,162.0,11.0,0.0,11.0,9.0,13.0,7,2.17136943222,2.14138998842e-05,2.18920619376,0.0340635931141,2.19892976731,0.0390607137942,0.499963768116,0.0147178337156,0.0,2.44948974278,4.8,1.46969384567,2.1375,1.4207722372,2.8,1.46969384567,4.0,0.695746002504,0.637373420979,0.607894829654,0.601950887648,0.600273167644
0.0,0.0,0.0,0.0,8.0,0.0,10.0,12.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,38.0,14.0,28.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8,2.0522280402,0.100358532968,,,1.92365673141,0.0457236687304,0.541909090909,0.0331921528115,0.0,2.44948974278,4.8,1.46969384567,1.8,1.16619037897,2.8,1.46969384567,3.0,0.663324958071,0.614463365137,0.600984418749,0.60007835456,0.60000203218
19.0,9.0,23.0,7.0,39.0,0.0,70.0,67.0,25.0,0.0,8.0,35.0,56.0,0.0,20.0,62.0,10.0,0.0,0.0,6.0,71.0,0.0,94.0,87.0,86.0,12.0,0.0,6.0,13.0,360.0,198.0,624.0,8.0,12.0,6.0,4.0,16.0,28.0,0.0,41.0,49.0,25.0,9,2.03047470014,0.0339878987517,2.03782154247,0.0366863601556,2.03011245356,0.03658789101,0.530862318841,0.0374680911642,0.0,2.44948974278,4.8,1.46969384567,1.6875,0.994908915429,2.8,1.46969384567,4.0,0.650240340182,0.610254865281,0.600690438564,0.600060319297,0.600001864293
46.0,15.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,14.0,54.0,0.0,16.0,40.0,47.0,9.0,53.0,65.0,38.0,0.0,0.0,0.0,0.0,280.0,198.0,264.0,0.0,0.0,0.0,0.0,0.0,61.0,19.0,71.0,97.0,44.0,10,1.95198069942,0.109304403843,1.98024563609,0.10902965751,,,0.520685185185,0.0406540618325,0.0,2.44948974278,4.8,1.46969384567,1.6375,0.840293847413,2.8,1.46969384567,3.0,0.66544158271,0.615949576325,0.601335025845,0.600139572877,0.600005793127
