id,predict1_0.05185,predict2_0.05185,formation_energy_ev_natom,bandgap_energy_ev
838,0.109459537081,0.870550397784,0.0796,1.4169
1836,0.0950067555532,1.41761402041,0.0896,3.1987
2082,0.0280492902966,1.42031913251,0.0359,3.1396
2089,0.190848197788,0.614779841155,0.2562,0.827
72,0.134714860003,1.3957093358,0.1432,2.9752
597,0.296526136808,1.08066156507,0.2972,1.6776
2162,0.164491078816,1.4610972479,0.157,3.4119
1303,0.282156825997,0.950977526605,0.3347,1.8863
1748,0.122106210794,1.00961379334,0.132,1.7766
1459,0.106538946275,1.39866841584,0.1298,3.0475
890,0.0705987175461,0.938727453351,0.0404,1.579
1643,0.133953593206,1.12302336097,0.1561,2.1993
1348,0.063611963531,1.55199938267,0.0708,3.559
224,0.180684100837,1.5564481765,0.1892,3.7532
2363,0.225755105726,0.649741500616,0.261,0.8591
2210,0.182882601395,1.05090563372,0.2354,1.8717
950,0.226065518335,1.28544016182,0.2544,2.6774
1926,0.187693061307,0.877713765949,0.2108,1.4768
358,0.288799168542,0.805285122246,0.4021,1.2398
480,0.0979090421461,0.690874885768,0.1007,0.9788
226,0.120065312367,0.940189421177,0.1367,1.5381
656,0.208718609065,1.21390833706,0.1956,2.5015
1513,0.187390459701,1.30700921267,0.1982,2.6469
2335,0.274842865765,0.617720901966,0.2813,1.316
1872,0.119073353708,1.27771446854,0.1364,2.6141
2360,0.119896361139,1.19834925234,0.14,2.2444
891,0.142992329318,1.47997295111,0.1668,3.4881
2083,0.0968111809343,1.14348191023,0.1052,2.175
1888,0.134770074859,0.921249974519,0.1254,1.4913
596,0.0742890920956,1.42679958045,0.0782,3.1538
1743,0.233202446252,0.569741368294,0.2518,0.7643
1550,0.326430244371,0.805684063584,0.3621,1.5353
228,0.190934193321,1.09150288254,0.2054,1.8941
1390,0.164250622038,0.775132920593,0.1956,1.2865
126,0.254476341419,0.667808547616,0.3481,1.1339
1636,0.143252249341,1.10553265363,0.1461,2.3498
2271,0.088406898547,1.39569462091,0.0883,3.1227
2203,0.338713660836,0.785022806376,0.4474,1.1934
1587,0.086685962975,1.52235540748,0.0828,3.5728
874,0.1172652971,0.756763178855,0.1348,1.0935
12,0.229329939,1.35183439404,0.259,2.8805
1193,0.146535826381,1.13077253476,0.1741,1.8326
659,0.144792620093,1.02587300912,0.1352,1.9107
