5,"('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)"
1,72,16,42,38,47,34,27,30,0,0,0,0,79,6,106,151,100,16,6,6,22,43,1,65,90,57,0,0,0,0,0,0,0,0,0,0,0,0,0,340,158,600
2,52,0,22,44,48,12,21,10,0,0,0,0,62,19,68,102,51,28,0,10,10,46,9,56,60,31,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,408
3,36,0,26,10,10,3,8,0,0,0,0,0,36,0,40,35,38,2,0,0,0,8,0,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
4,30,0,0,10,0,0,0,0,13,0,0,6,29,0,28,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,12,8,76,36,64
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,14,20,75,7,103,82,39,43,0,21,24,20,0,0,0,20,33,21,21,107,280,198,264
6,12,0,12,6,20,4,10,0,0,0,0,0,23,0,26,25,16,6,0,6,6,21,0,21,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
7,0,0,0,0,0,1,0,0,6,0,2,3,6,0,3,6,6,0,0,0,0,11,0,11,9,13,13,0,6,4,102,106,0,54,162,121,0,138,232,336,222,528
8,4,0,2,0,0,0,0,0,10,0,0,2,14,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,8,0,10,12,38,14,28
9,56,0,20,62,19,9,23,7,25,0,8,35,71,0,94,87,86,10,0,0,6,28,0,41,49,25,12,0,6,13,8,12,6,4,16,39,0,70,67,360,198,624
10,30,0,10,14,46,15,21,12,0,0,0,0,47,9,53,65,38,54,0,16,40,61,19,71,97,44,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
