id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,vol,"('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)","Bond_('Al', 'O')_mean","Bond_('Al', 'O')_std","Bond_('Ga', 'O')_mean","Bond_('Ga', 'O')_std","Bond_('In', 'O')_mean","Bond_('In', 'O')_std",IonChar_mean,IonChar_std,val_mean,val_std,grp_mean,grp_std,period_mean,period_std,p_mean,p_std,Norm0,Norm2,Norm3,Norm5,Norm7,Norm10,"N('Al', 'Ga', 0)","N('Al', 'Ga', 1)","N('Al', 'Ga', 2)","N('Al', 'Ga', 3)","N('In', 'O', 0)","N('In', 'O', 1)","N('In', 'O', 2)","N('In', 'O', 3)","N('Al', 'In', 0)","N('Al', 'In', 1)","N('Al', 'In', 2)","N('Al', 'In', 3)","N('Al', 'Al', 0)","N('Al', 'Al', 1)","N('Al', 'Al', 2)","N('Al', 'Al', 3)","N('Ga', 'Ga', 0)","N('Ga', 'Ga', 1)","N('Ga', 'Ga', 2)","N('Ga', 'Ga', 3)","N('Al', 'O', 0)","N('Al', 'O', 1)","N('Al', 'O', 2)","N('Al', 'O', 3)","N('Al', 'O', 4)","N('In', 'Ga', 0)","N('In', 'Ga', 1)","N('In', 'Ga', 2)","N('In', 'Ga', 3)","N('O', 'O', 0)","N('O', 'O', 1)","N('O', 'O', 2)","N('In', 'In', 0)","N('In', 'In', 1)","N('In', 'In', 2)","N('In', 'In', 3)","N('In', 'In', 4)","N('Ga', 'O', 0)","N('Ga', 'O', 1)","N('Ga', 'O', 2)","N('Ga', 'O', 3)","N('Ga', 'O', 4)",predict1,predict2,z1,z2
1,33,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,781.052080913,47.0,34.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,16.0,42.0,38.0,16.0,6.0,6.0,22.0,79.0,6.0,106.0,151.0,100.0,0.0,0.0,0.0,0.0,340.0,158.0,600.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,65.0,90.0,57.0,1.95300326448,0.152132651869,1.95599472944,0.117986076201,0.0,0.0,0.538098360656,0.0391743496365,0.0,2.44948974278,4.8,1.46969384567,1.55,0.739932429347,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758,0.0601752445817,0.0435310279953,0.0345687575257,0.0384097305841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921833534017,0.0204851896448,0.0537736228177,0.0486523254065,0.0204851896448,0.00768194611681,0.00768194611681,0.0281671357616,0.101145623871,0.00768194611681,0.135714381397,0.193328977273,0.12803243528,0.0,0.0,0.0,0.0,0.435310279953,0.202291247743,0.768194611681,0.0,0.0,0.0,0.0,0.0,0.0550539471705,0.0012803243528,0.0832210829321,0.115229191752,0.0729784881097,0.0664463584628,3.48482960946,0.0618488592495,1.53626107117
2,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.998,120.0025,0.249,2.921,782.500109792,48.0,12.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,22.0,44.0,28.0,0.0,10.0,10.0,62.0,19.0,68.0,102.0,51.0,0.0,0.0,0.0,0.0,280.0,198.0,408.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,56.0,60.0,31.0,1.95940111879,0.106750186795,1.93659260804,0.111503998896,0.0,0.0,0.532074074074,0.0405475723582,0.0,2.44948974278,4.8,1.46969384567,1.55,0.739932429347,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758,0.0613418444283,0.0153354611071,0.0268370569374,0.0127795509226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664536647973,0.0,0.0281150120296,0.0562300240593,0.0357827425832,0.0,0.0127795509226,0.0127795509226,0.0792332157199,0.0242811467529,0.0869009462734,0.13035141941,0.065175709705,0.0,0.0,0.0,0.0,0.357827425832,0.253035108267,0.52140567764,0.0,0.0,0.0,0.0,0.0,0.0587859342438,0.0115015958303,0.0715654851663,0.0766773055354,0.0396166078599,0.245953768654,3.00494524838,0.214983941031,1.36685390206
3,227,40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438,391.227530817,10.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,26.0,10.0,2.0,0.0,0.0,0.0,36.0,0.0,40.0,35.0,38.0,0.0,0.0,0.0,0.0,98.0,28.0,118.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,9.0,9.0,1.94791475536,0.0604394377064,1.86958145853,0.0822292888955,0.0,0.0,0.552090909091,0.0316269578494,0.0,2.44948974278,4.8,1.46969384567,1.475,0.631961232988,2.8,1.46969384567,3.0,0.686476510887,0.63058985656,0.605497529398,0.601165898084,0.600130331078,0.0255605733552,0.00766817200655,0.0204484586841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0920180640786,0.0,0.0664574907234,0.0255605733552,0.00511211467103,0.0,0.0,0.0,0.0920180640786,0.0,0.102242293421,0.0894620067431,0.0971301787496,0.0,0.0,0.0,0.0,0.250493618881,0.0715696053945,0.301614765591,0.0,0.0,0.0,0.0,0.0,0.0204484586841,0.0,0.0178924013486,0.0230045160196,0.0230045160196,0.164283407704,2.56346999199,0.142406581006,1.33113738681
4,167,30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492,293.377334467,0.0,0.0,0.0,0.0,11.0,0.0,12.0,8.0,13.0,0.0,0.0,6.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,28.0,19.0,24.0,0.0,0.0,0.0,0.0,76.0,36.0,64.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01974667986,0.0690741705898,0.0,0.0,2.02680103458,0.0674311489823,0.548025,0.0308094851466,0.0,2.44948974278,4.8,1.46969384567,1.6,0.916515138991,2.8,1.46969384567,3.0,0.678232998313,0.624879976953,0.603719041214,0.600667715689,0.600058569008,0.0,0.0,0.0,0.0,0.0374943756987,0.0,0.0409029553077,0.0272686368718,0.0443115349167,0.0,0.0,0.0204514776538,0.102257388269,0.0,0.0,0.0340857960897,0.0,0.0,0.0,0.0,0.0988488086603,0.0,0.0954402290513,0.0647630125705,0.0818059106154,0.0,0.0,0.0,0.0,0.259052050282,0.122708865923,0.218149094974,0.0,0.0136343184359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204544851921,3.25800437358,0.168137587668,1.49573367531
5,194,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.996,90.0006,119.9893,0.0505,1.3793,944.713843406,0.0,0.0,0.0,0.0,33.0,21.0,21.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,21.0,24.0,280.0,198.0,264.0,20.0,0.0,0.0,0.0,20.0,75.0,7.0,103.0,82.0,39.0,0.0,0.0,2.01643627245,0.0981473916944,2.19500388557,0.000159584581131,0.488972222222,0.00598835031592,0.0,2.44948974278,4.8,1.46969384567,1.95,1.20312094155,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758,0.0,0.0,0.0,0.0,0.0349312124834,0.0222289533985,0.0222289533985,0.113261810173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740965113284,0.0,0.0148193022657,0.0211704318081,0.0,0.0,0.0,0.0,0.0,0.0455164283874,0.0,0.0222289533985,0.0254045181697,0.296386045314,0.2095872749,0.279449699867,0.0211704318081,0.0,0.0,0.0,0.0211704318081,0.0793891192804,0.00740965113284,0.109027723812,0.0867987704133,0.0412823420258,0.0644918951923,1.40239431651,0.0820914031279,0.882720813312
6,227,40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.2209,2.1633,404.315578267,20.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,6.0,6.0,0.0,6.0,6.0,23.0,0.0,26.0,25.0,16.0,0.0,0.0,0.0,0.0,98.0,28.0,118.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,19.0,13.0,1.96113410832,0.0679099942567,1.9489960097,0.0774670691777,0.0,0.0,0.527863636364,0.0409576227277,0.0,2.44948974278,4.8,1.46969384567,1.575,0.770957197255,2.8,1.46969384567,3.0,0.664266512779,0.615124790153,0.601138849467,0.600104722467,0.600003566837,0.0494663106619,0.00989326213238,0.024733155331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296797863971,0.0,0.0296797863971,0.0148398931986,0.0148398931986,0.0,0.0148398931986,0.0148398931986,0.0568862572612,0.0,0.0643062038605,0.0618328883274,0.0395730485295,0.0,0.0,0.0,0.0,0.242384922243,0.0692528349267,0.291851232905,0.0,0.0,0.0,0.0,0.0,0.051939626195,0.0,0.051939626195,0.0469929951288,0.0321531019302,0.152354410697,2.38033447865,0.153302935004,1.19221834879
7,206,80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0562,0.9854,1050.77594688,0.0,1.0,0.0,0.0,121.0,0.0,138.0,232.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,6.0,6.0,13.0,0.0,6.0,4.0,336.0,222.0,528.0,102.0,106.0,0.0,54.0,162.0,11.0,0.0,11.0,9.0,13.0,2.17136943222,2.14138998842e-05,2.18920619376,0.0340635931141,2.19892976731,0.0390607137942,0.499963768116,0.0147178337156,0.0,2.44948974278,4.8,1.46969384567,2.1375,1.4207722372,2.8,1.46969384567,4.0,0.695746002504,0.637373420979,0.607894829654,0.601950887648,0.600273167644,0.0,0.000951677665416,0.0,0.0,0.115152997515,0.0,0.131331517827,0.220789218376,0.00571006599249,0.0,0.00190335533083,0.00285503299625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00571006599249,0.0,0.00285503299625,0.00571006599249,0.00571006599249,0.0123718096504,0.0,0.00571006599249,0.00380671066166,0.31976369558,0.211272441722,0.502485807339,0.0970711218724,0.100877832534,0.0,0.0513905939324,0.154171781797,0.0104684543196,0.0,0.0104684543196,0.00856509898874,0.0123718096504,0.047821579044,0.975191594664,0.0462837977746,0.688533832745
8,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.288,89.9997,105.179,90.0001,0.2243,1.7179,232.217827235,0.0,0.0,0.0,0.0,8.0,0.0,10.0,12.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,38.0,14.0,28.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0522280402,0.100358532968,0.0,0.0,1.92365673141,0.0457236687304,0.541909090909,0.0331921528115,0.0,2.44948974278,4.8,1.46969384567,1.8,1.16619037897,2.8,1.46969384567,3.0,0.663324958071,0.614463365137,0.600984418749,0.60007835456,0.60000203218,0.0,0.0,0.0,0.0,0.0344504127666,0.0,0.0430630159582,0.0516756191499,0.0430630159582,0.0,0.0,0.00861260319164,0.0172252063833,0.0,0.00861260319164,0.0,0.0,0.0,0.0,0.0,0.0602882223415,0.0,0.0344504127666,0.0344504127666,0.00861260319164,0.0,0.0,0.0,0.0,0.163639460641,0.0602882223415,0.120576444683,0.0,0.00861260319164,0.0,0.0,0.0344504127666,0.0,0.0,0.0,0.0,0.0,0.3080946824,1.71819530997,0.200113940337,1.04436723685
9,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.003,89.9978,0.2193,2.6257,831.246873346,19.0,9.0,23.0,7.0,39.0,0.0,70.0,67.0,25.0,0.0,8.0,35.0,56.0,0.0,20.0,62.0,10.0,0.0,0.0,6.0,71.0,0.0,94.0,87.0,86.0,12.0,0.0,6.0,13.0,360.0,198.0,624.0,8.0,12.0,6.0,4.0,16.0,28.0,0.0,41.0,49.0,25.0,2.03047470014,0.0339878987517,2.03782154247,0.0366863601556,2.03011245356,0.03658789101,0.530862318841,0.0374680911642,0.0,2.44948974278,4.8,1.46969384567,1.6875,0.994908915429,2.8,1.46969384567,4.0,0.650240340182,0.610254865281,0.600690438564,0.600060319297,0.600001864293,0.0228572288321,0.0108271083941,0.0276692770072,0.00842108430655,0.0469174697079,0.0,0.0842108430655,0.0806018069341,0.0300753010948,0.0,0.00962409635034,0.0421054215327,0.0673686744524,0.0,0.0240602408758,0.0745867467151,0.0120301204379,0.0,0.0,0.00721807226275,0.0854138551093,0.0,0.113083132116,0.10466204781,0.103459035766,0.0144361445255,0.0,0.00721807226275,0.0156391565693,0.433084335765,0.238196384671,0.750679515326,0.00962409635034,0.0144361445255,0.00721807226275,0.00481204817517,0.0192481927007,0.0336843372262,0.0,0.0493234937955,0.0589475901458,0.0300753010948,0.225571316675,2.52131965853,0.212677191838,1.23657428227
10,194,80.0,0.4062,0.5938,0.0,6.252,6.252,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,805.417177817,46.0,15.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,14.0,54.0,0.0,16.0,40.0,47.0,9.0,53.0,65.0,38.0,0.0,0.0,0.0,0.0,280.0,198.0,264.0,0.0,0.0,0.0,0.0,0.0,61.0,19.0,71.0,97.0,44.0,1.95198069942,0.109304403843,1.98024563609,0.10902965751,0.0,0.0,0.520685185185,0.0406540618325,0.0,2.44948974278,4.8,1.46969384567,1.6375,0.840293847413,2.8,1.46969384567,3.0,0.66544158271,0.615949576325,0.601335025845,0.600139572877,0.600005793127,0.0571132591494,0.0186238888531,0.0260734443943,0.0148991110824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372477777061,0.0,0.012415925902,0.0173822962629,0.067045999871,0.0,0.0198654814433,0.0496637036081,0.0583548517396,0.0111743333118,0.0658044072808,0.0807035183632,0.0471805184277,0.0,0.0,0.0,0.0,0.347645925257,0.24583533286,0.327780443814,0.0,0.0,0.0,0.0,0.0,0.0757371480024,0.0235902592139,0.0881530739045,0.12043448125,0.054630073969,0.206437352812,2.60790276586,0.196020014171,1.22044860701
