Interaction,Gain,FScore,wFScore,Average wFScore,Average Gain,Expected Gain,Gain Rank,FScore Rank,wFScore Rank,Avg wFScore Rank,Avg Gain Rank,Expected Gain Rank,Average Rank,Average Tree Index,Average Tree Depth
atom_sum_8,6164.78333,36,20.4800887785,0.568891355,171.2439813889,5846.8779504017,1,1,1,3,1,1,1.33,8.00,1.00
PEOE_VSA9,1211.57522,30,6.9164993514,0.2305499784,40.3858406667,386.0695353231,2,2,4,10,18,5,6.83,9.00,3.00
charge_skew,1207.10401,22,11.7859249669,0.5357238621,54.8683640909,939.1204946368,3,4,2,6,9,3,4.50,9.00,2.00
PEOE_VSA11,1188.92758,9,5.0728064756,0.563645164,132.1030644444,954.3510240372,4,23,5,5,2,2,6.83,5.00,2.00
atom_16,1003.2864,16,1.7238112915,0.1077382057,62.7054,118.2410578143,5,7,14,28,6,11,11.83,6.00,1.00
atom_sum_7,974.83856,29,7.728219462,0.2664903263,33.6151227586,434.6308608808,6,3,3,9,28,4,8.83,8.00,2.00
VSA_EState10,860.55296,22,2.0402203286,0.0927372877,39.1160436364,92.0180625601,7,5,13,32,20,16,15.50,8.00,3.00
HBD_norm,770.20299,20,3.9475943003,0.197379715,38.5101495,229.0185508473,8,6,7,13,22,7,10.50,9.00,3.00
SlogP_VSA7,749.4212,14,2.3815590235,0.1701113588,53.5300857143,146.2621155625,9,8,9,17,10,10,10.50,11.00,2.00
PEOE_VSA3,686.92478,13,1.6211960251,0.1247073865,52.8403676923,115.8428804406,10,10,16,23,11,12,13.67,5.00,2.00
PEOE_VSA7,567.65817,14,2.4397382203,0.1742670157,40.5470121429,156.9970135787,11,9,8,16,17,9,11.67,12.00,3.00
Rotatable_num,541.0869,12,4.2112800622,0.3509400052,45.090575,239.35472222,12,13,6,7,14,6,9.67,11.00,3.00
atom_1,456.206678,5,0.2211038412,0.0442207682,91.2413356,25.3790569507,13,32,41,43,3,28,26.67,3.00,2.00
SMR_VSA1,445.345661,8,2.2231381333,0.2778922667,55.668207625,185.6280696299,14,25,11,8,8,8,12.33,11.00,2.00
VSA_EState4,431.44762,11,2.0990242594,0.1908203872,39.2225109091,110.0220621426,15,15,12,14,19,13,14.67,12.00,3.00
atom_sum_16,408.03029,13,1.2513633106,0.0962587162,31.3869453846,60.759573038,16,11,20,31,29,21,21.33,13.00,3.00
SMR_VSA10,390.05141,11,0.8693818356,0.0790347123,35.4592190909,46.2663378133,17,16,29,35,27,25,24.83,12.00,3.00
SMR_VSA5,388.304101,10,2.2436733055,0.2243673306,38.8304101,97.9303013089,18,17,10,11,21,15,15.33,12.00,3.00
LabuteASA_norm,371.7758,10,1.2220052913,0.1222005291,37.17758,56.3625921347,19,18,21,24,25,22,21.50,11.00,3.00
SlogP_VSA4,359.23626,10,1.4934081666,0.1493408167,35.923626,83.7309052042,20,19,18,19,26,17,19.83,11.00,3.00
SlogP_VSA5,307.5662,10,1.1799520277,0.1179952028,30.75662,35.3163258444,21,20,23,25,30,26,24.17,7.00,2.00
SMR_VSA6,286.95392,10,1.3295909045,0.1329590904,28.695392,64.2991235729,22,21,19,21,36,20,23.17,12.00,3.00
atom_sum_6,246.44934,9,0.3604500384,0.0400500043,27.38326,12.8879283815,23,24,35,45,37,38,33.67,9.00,3.00
PEOE_VSA6,243.49858,13,1.0035005265,0.0771923482,18.73066,19.3076598968,24,12,26,36,48,30,29.33,12.00,3.00
PEOE_VSA10,201.32476,12,0.8795020545,0.0732918379,16.7770633333,18.7993526889,25,14,27,37,50,33,31.00,10.00,3.00
SlogP_VSA2,197.218953,10,0.8714591029,0.0871459103,19.7218953,13.3822343199,26,22,28,34,45,36,31.83,9.00,3.00
atom_sum_1,189.15194,7,1.5237115275,0.2176730754,27.0217057143,47.931798519,27,26,17,12,38,24,24.00,15.00,2.00
SMR_VSA3,187.4836,4,0.5553817909,0.1388454477,46.8709,31.6896511049,28,36,30,20,13,27,25.67,10.00,3.00
SMR_VSA2,186.66826,7,1.0761971642,0.153742452,26.6668942857,68.2346426113,29,27,25,18,39,19,26.17,11.00,3.00
charge_std,173.3106,6,0.3623368295,0.0603894716,28.8851,11.9829053158,30,28,34,40,35,39,34.33,4.00,3.00
PEOE_VSA8,153.0866,5,0.1687551818,0.0337510364,30.61732,4.5480582417,31,33,44,48,31,45,38.67,9.00,3.00
SlogP_VSA3,152.8458,5,0.4590495907,0.0918099181,30.56916,18.8063270266,32,34,31,33,32,32,32.33,13.00,4.00
LabuteASA,149.9448,4,0.2815911096,0.0703977774,37.4862,14.9195958996,33,37,38,38,24,35,34.17,9.00,3.00
atom_len,149.7078,3,0.3524101382,0.1174700461,49.9026,19.0339822557,34,42,36,26,12,31,30.17,14.00,3.00
SlogP_VSA8,147.5477,2,0.2508412738,0.1254206369,73.77385,18.0210216533,35,44,39,22,4,34,29.67,7.00,3.00
atom_8,139.7316,2,1.18981286,0.59490643,69.8658,83.0069702389,36,45,22,2,5,18,21.33,14.00,2.00
charge_kurtosis,129.5225,6,0.1619744632,0.0269957439,21.5870833333,6.1951532169,37,29,45,50,43,43,41.17,7.00,3.00
VSA_EState5,121.5943,2,1.6317159774,0.8158579887,60.79715,99.2997320664,38,46,15,1,7,14,20.17,8.00,1.00
TPSA,116.66089,4,0.1439356522,0.0359839131,29.1652225,3.1426084453,39,38,47,47,33,48,42.00,10.00,4.00
PEOE_VSA4,116.0816,4,0.1529378618,0.0382344654,29.0204,8.3652186096,40,39,46,46,34,41,41.00,4.00,3.00
SMR_VSA4,100.26364,6,0.2491625366,0.0415270894,16.7106066667,7.6485146156,41,30,40,44,51,42,41.33,7.00,3.00
PEOE_VSA1,98.00442,5,0.1297167789,0.0259433558,19.600884,2.3801685607,42,35,48,51,46,49,45.17,8.00,2.00
PEOE_VSA12,92.5269,4,0.3972361193,0.0993090298,23.131725,9.6637324689,43,40,32,30,42,40,37.83,13.00,3.00
SlogP_VSA6,88.4206,2,1.1375312109,0.5687656055,44.2103,50.1985770325,44,47,24,4,15,23,26.17,7.00,4.00
SlogP_VSA1,82.5377,2,0.3694902838,0.1847451419,41.26885,23.5331844584,45,48,33,15,16,29,31.00,8.00,4.00
PEOE_VSA2,76.07488,2,0.2007281668,0.1003640834,38.03744,13.1981350989,46,49,42,29,23,37,37.67,13.00,4.00
TPSA_norm,74.38755,4,0.1238247197,0.0309561799,18.5968875,3.2297610977,47,41,49,49,49,47,47.00,9.00,3.00
HBA,71.0392,3,0.1842493626,0.0614164542,23.6797333333,4.9401949869,48,43,43,39,41,44,43.00,17.00,3.00
HBA_norm,59.2846,6,0.2973259136,0.0495543189,9.8807666667,3.3014182507,49,31,37,42,53,46,43.00,6.00,3.00
atom_6,33.2954,2,0.115801579,0.0579007895,16.6477,1.9681312712,50,50,50,41,52,51,49.00,15.00,3.00
PEOE_VSA13,25.5535,1,0.012771363,0.012771363,25.5535,0.3263530255,51,51,52,52,40,52,49.67,2.00,4.00
PEOE_VSA14,21.163,1,0.1082231568,0.1082231568,21.163,2.2903266678,52,52,51,27,44,50,46.00,17.00,4.00
atom_7,19.2344,1,0.0104810405,0.0104810405,19.2344,0.2015965254,53,53,54,54,47,53,52.33,4.00,4.00
VSA_EState9,1.25013,1,0.0122078417,0.0122078417,1.25013,0.0152613892,54,54,53,53,54,54,53.67,3.00,4.00
SMR_VSA7,1.11111,1,0.0062733744,0.0062733744,1.11111,0.006970409,55,55,55,55,55,55,55.00,0.00,2.00
