ID,NAME,Pred-Boosting,Pred-MLR,Pred-PLS,Pred-SVM,SMILES,permability,set
A-1,(-)-epicatechin,-5.3808940495,-5.4467409221,-5.4467409042999995,-5.450500991699999,O1c2c(CC(O)C1c1cc(O)c(O)cc1)c(O)cc(O)c2,-6.2199998,Tr
A-10,"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",-3.9125112152,-3.6780152849000003,-3.6780153226,-3.9060163333999998,O=C(NCC(C)C)\C=C\C=C/CCC#C\C=C/C,-3.8599998999999996,Tr
A-100,CNV 97104,-4.790829539700001,-4.6717370999000005,-4.6717371005,-4.7307753083,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCCC)C,-4.8600001,Tr
A-101,codeine,-4.8086207506,-4.7258796527,-4.7258796311,-4.784440406,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O,-4.0900002,Tr
A-104,coumarin,-4.5015805217,-4.9374650248,-4.9374649988,-4.6010241582999996,O1c2c(C=CC1=O)cccc2,-4.25,Tr
A-105,creatinine,-4.9090449373,-5.1773012618,-5.1773012572,-5.2732339149000005,O=C1NC(=N)N(C1)C,-5.935409099999999,Tr
A-108,daidzein ,-4.0422469262,-3.9958227563,-3.9958227485,-4.0193810555,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,-4.6799998,Tr
A-110,danazol,-4.8393928148,-4.7203032463,-4.7203032562,-4.7365249206,o1ncc2C[C@@]3([C@@H]4[C@H]([C@@H]5CC[C@@](O)(C#C)[C@]5(CC4)C)CCC3=Cc12)C,-4.8400002,Tr
A-111,davidigenin,-6.3478158897000005,-5.920343831399999,-5.920343829199999,-6.4089690088,Oc1cc(O)ccc1C(=O)CCc1ccc(O)cc1,-4.7399998,Tr
A-114,dexamethasone,-5.0371115421,-4.7071396088999995,-4.7071396013,-4.7526037582,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-4.829999900000001,Tr
A-115,dexamethasone b D glucoside,-4.4590071693,-4.7127913531,-4.7127913617,-4.5101927973,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-6.54,Tr
