atoms,charge,origin,bond1,bond2
8,-0.3198902550101863,E,"[1, 23, 23]","[1, 3, 5]"
1,0.08449975566999782,E,"[1, 3, 5, 8]","[1, 5, 5, 7, 10, 23, 23]"
1,-0.02366947079441982,E,"[1, 1, 5, 5]","[3, 5, 5, 5, 8, 41]"
1,-0.01115222475931884,E,"[1, 5, 5, 41]","[1, 5, 5, 32, 32]"
41,0.041458278835693585,E,"[1, 32, 32]","[1, 5, 5]"
32,-0.5501705677116027,E,[41],"[1, 32]"
32,-0.5501705677116027,E,[41],"[1, 32]"
3,0.23699681085687943,E,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.27329545371541575,E,[3],"[1, 10]"
10,-0.3452324696059287,E,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.08487611565146631,E,"[1, 3, 5, 10]","[1, 3, 5, 5, 5, 7, 28]"
1,-0.020662741383886664,E,"[1, 1, 5, 5]","[3, 5, 5, 5, 10, 41]"
1,-0.010755770615789906,E,"[1, 5, 5, 41]","[1, 5, 5, 32, 32]"
41,0.0414759337191035,E,"[1, 32, 32]","[1, 5, 5]"
32,-0.5501702399014741,E,[41],"[1, 32]"
32,-0.5501702399014741,E,[41],"[1, 32]"
3,0.14179642406840606,E,"[1, 5, 7]","[1, 5, 10]"
7,-0.30107519014614026,E,[3],"[1, 5]"
23,0.11914737596375703,E,[8],"[1, 23]"
23,0.11914737596375703,E,[8],"[1, 23]"
5,0.05660351873943762,E,[1],"[1, 3, 8]"
5,0.029159777904656573,E,[1],"[1, 1, 5]"
5,0.029159777904656573,E,[1],"[1, 1, 5]"
5,0.03292212660262465,E,[1],"[1, 5, 41]"
5,0.03292212660262465,E,[1],"[1, 5, 41]"
28,0.1637599118792653,E,[10],"[1, 3]"
5,0.06083333953009602,E,[1],"[1, 3, 10]"
5,0.02959318937000588,E,[1],"[1, 1, 5]"
5,0.02959318937000588,E,[1],"[1, 1, 5]"
5,0.03293965883418422,E,[1],"[1, 5, 41]"
5,0.03293965883418422,E,[1],"[1, 5, 41]"
5,0.10659084495643713,E,[3],"[1, 7]"
8,-0.31947000229134087,N,"[1, 23, 23]","[1, 3, 5]"
1,0.09296604192258201,N,"[1, 3, 5, 8]","[3, 5, 5, 7, 10, 23, 23]"
1,0.05046076827098914,N,"[1, 3, 5, 5]","[3, 5, 7, 8, 10]"
3,0.21901738490182246,N,"[1, 7, 10]","[1, 5, 5, 28, 28]"
10,-0.36961487286543515,N,"[3, 28, 28]","[1, 7]"
7,-0.2752893570009813,N,[3],"[1, 10]"
3,0.2376110015911935,N,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.2732767556284543,N,[3],"[1, 10]"
10,-0.34242647370292884,N,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.11645565329782086,N,"[1, 3, 5, 10]","[3, 3, 5, 5, 7, 10, 28]"
1,0.05564506109887006,N,"[1, 3, 5, 5]","[3, 5, 7, 10, 10]"
3,0.21952924775792318,N,"[1, 7, 10]","[1, 5, 5, 28, 28]"
10,-0.3695981621146419,N,"[3, 28, 28]","[1, 7]"
7,-0.27526757062914997,N,[3],"[1, 10]"
3,0.24320034773703852,N,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27268847796577833,N,[3],"[1, 10]"
10,-0.34426464459326866,N,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.0932739970790629,N,"[1, 3, 5, 10]","[3, 3, 5, 5, 5, 7, 28]"
1,0.053426321279683525,N,"[1, 3, 5, 5]","[3, 5, 7, 10, 10]"
3,0.21943933266653093,N,"[1, 7, 10]","[1, 5, 5, 28, 28]"
10,-0.36959947054808856,N,"[3, 28, 28]","[1, 7]"
7,-0.2752692512045185,N,[3],"[1, 10]"
3,0.1423155456811329,N,"[1, 5, 7]","[1, 5, 10]"
7,-0.3010587060172893,N,[3],"[1, 5]"
23,0.11916081011951185,N,[8],"[1, 23]"
23,0.11916081011951185,N,[8],"[1, 23]"
5,0.05713651453536357,N,[1],"[1, 3, 8]"
5,0.03884259871748202,N,[1],"[1, 3, 5]"
5,0.03884259871748202,N,[1],"[1, 3, 5]"
28,0.1591010603458579,N,[10],"[3, 28]"
28,0.1591010603458579,N,[10],"[3, 28]"
28,0.16387832280107834,N,[10],"[1, 3]"
5,0.06376271507115266,N,[1],"[1, 3, 10]"
5,0.03937510073734705,N,[1],"[1, 3, 5]"
5,0.03937510073734705,N,[1],"[1, 3, 5]"
28,0.15910138401216606,N,[10],"[3, 28]"
28,0.15910138401216606,N,[10],"[3, 28]"
28,0.1637970466507732,N,[10],"[1, 3]"
5,0.061364479744563195,N,[1],"[1, 3, 10]"
5,0.03928605736513287,N,[1],"[1, 3, 5]"
5,0.03928605736513287,N,[1],"[1, 3, 5]"
28,0.1591013722950711,N,[10],"[3, 28]"
28,0.1591013722950711,N,[10],"[3, 28]"
5,0.10660719528915694,N,[3],"[1, 7]"
8,-0.3282496426013628,PEG1,"[1, 23, 23]","[1, 5, 5]"
1,0.01591778867758273,PEG1,"[1, 5, 5, 8]","[5, 5, 6, 23, 23]"
1,0.05893962736069858,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 8]"
6,-0.3777480482916923,PEG1,"[1, 1]","[1, 1, 5, 5, 5, 5]"
1,0.07008118943109487,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 6]"
1,0.07070139119527351,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 6]"
6,-0.36925024317801264,PEG1,"[1, 1]","[1, 3, 5, 5, 5, 5]"
1,0.12538835738717286,PEG1,"[3, 5, 5, 6]","[1, 7, 10]"
3,0.24557959132331592,PEG1,"[1, 7, 10]","[1, 5, 5, 6, 28]"
7,-0.27243213112704906,PEG1,[3],"[1, 10]"
10,-0.3517840761563535,PEG1,"[1, 3, 28]","[1, 1, 5, 5, 7]"
1,0.04094271440543051,PEG1,"[1, 5, 5, 10]","[3, 5, 5, 6, 28]"
1,0.06407667823866428,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 10]"
6,-0.3772303611019667,PEG1,"[1, 1]","[1, 1, 5, 5, 5, 5]"
1,0.07010481101165271,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 6]"
1,0.07058618536544227,PEG1,"[1, 5, 5, 6]","[1, 5, 5, 6]"
6,-0.3716048060309866,PEG1,"[1, 1]","[1, 3, 5, 5, 5, 5]"
1,0.10217004339785049,PEG1,"[3, 5, 5, 6]","[1, 5, 7]"
3,0.14515770551120175,PEG1,"[1, 5, 7]","[5, 5, 6]"
7,-0.30079358135418016,PEG1,[3],"[1, 5]"
23,0.11847128080133656,PEG1,[8],"[1, 23]"
23,0.11847128080133656,PEG1,[8],"[1, 23]"
5,0.04495651259900437,PEG1,[1],"[1, 5, 8]"
5,0.04495651259900437,PEG1,[1],"[1, 5, 8]"
5,0.0580032081588568,PEG1,[1],"[1, 5, 6]"
5,0.0580032081588568,PEG1,[1],"[1, 5, 6]"
5,0.059109109275073256,PEG1,[1],"[1, 5, 6]"
5,0.059109109275073256,PEG1,[1],"[1, 5, 6]"
5,0.059129011008118834,PEG1,[1],"[1, 5, 6]"
5,0.059129011008118834,PEG1,[1],"[1, 5, 6]"
5,0.06708163906481425,PEG1,[1],"[3, 5, 6]"
5,0.06708163906481425,PEG1,[1],"[3, 5, 6]"
28,0.16312797213667835,PEG1,[10],"[1, 3]"
5,0.05153205507508024,PEG1,[1],"[1, 5, 10]"
5,0.05153205507508024,PEG1,[1],"[1, 5, 10]"
5,0.05853410884099914,PEG1,[1],"[1, 5, 6]"
5,0.05853410884099914,PEG1,[1],"[1, 5, 6]"
5,0.05910954254905409,PEG1,[1],"[1, 5, 6]"
5,0.05910954254905409,PEG1,[1],"[1, 5, 6]"
5,0.059127000717377504,PEG1,[1],"[1, 5, 6]"
5,0.059127000717377504,PEG1,[1],"[1, 5, 6]"
5,0.06466866736889643,PEG1,[1],"[3, 5, 6]"
5,0.06466866736889643,PEG1,[1],"[3, 5, 6]"
5,0.10687456348232192,PEG1,[3],"[1, 7]"
8,-0.31990064327715506,K,"[1, 23, 23]","[1, 3, 5]"
1,0.08414273520376342,K,"[1, 3, 5, 8]","[1, 5, 5, 7, 10, 23, 23]"
1,-0.028689356623800576,K,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 8]"
1,-0.04597048317201315,K,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.0035963558771203844,K,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 34]"
1,0.07393158038834696,K,"[1, 5, 5, 34]","[1, 5, 5, 36, 36, 36]"
34,-0.3575608565594739,K,"[1, 36, 36, 36]","[1, 5, 5]"
3,0.2369836930769018,K,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.2732956844162497,K,[3],"[1, 10]"
10,-0.34524553125486396,K,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.08452105644582444,K,"[1, 3, 5, 10]","[1, 3, 5, 5, 5, 7, 28]"
1,-0.025680718607868764,K,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.0455735696475069,K,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.0035792310812117188,K,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 34]"
1,0.07393189477423151,K,"[1, 5, 5, 34]","[1, 5, 5, 36, 36, 36]"
34,-0.3575608543829572,K,"[1, 36, 36, 36]","[1, 5, 5]"
3,0.14178353490333573,K,"[1, 5, 7]","[1, 5, 10]"
7,-0.30107541255617104,K,[3],"[1, 5]"
23,0.11914719619698581,K,[8],"[1, 23]"
23,0.11914719619698581,K,[8],"[1, 23]"
5,0.05659073923143509,K,[1],"[1, 3, 8]"
5,0.02878070689721533,K,[1],"[1, 1, 5]"
5,0.02878070689721533,K,[1],"[1, 1, 5]"
5,0.026944217219128895,K,[1],"[1, 1, 5]"
5,0.026944217219128895,K,[1],"[1, 1, 5]"
5,0.032440608051856445,K,[1],"[1, 1, 5]"
5,0.032440608051856445,K,[1],"[1, 1, 5]"
5,0.09219386816024329,K,[1],"[1, 5, 34]"
5,0.09219386816024329,K,[1],"[1, 5, 34]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
28,0.16375967279986972,K,[10],"[1, 3]"
5,0.06082057603398989,K,[1],"[1, 3, 10]"
5,0.02921359887141069,K,[1],"[1, 1, 5]"
5,0.02921359887141069,K,[1],"[1, 1, 5]"
5,0.026961498282590306,K,[1],"[1, 1, 5]"
5,0.026961498282590306,K,[1],"[1, 1, 5]"
5,0.03244091506368321,K,[1],"[1, 1, 5]"
5,0.03244091506368321,K,[1],"[1, 1, 5]"
5,0.09219387076767836,K,[1],"[1, 5, 34]"
5,0.09219387076767836,K,[1],"[1, 5, 34]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
5,0.10659062561563105,K,[3],"[1, 7]"
3,0.1383710470384654,FITC,"[3, 10, 16]","[10, 16, 28, 37]"
10,-0.3441320880946008,FITC,"[3, 28, 37]","[3, 16, 37, 37]"
37,0.03958028169549771,FITC,"[10, 37, 37]","[3, 5, 5, 28, 37, 37]"
37,-0.03770836008158941,FITC,"[5, 37, 37]","[5, 10, 37, 37]"
37,-0.045156255295514085,FITC,"[5, 37, 37]","[3, 5, 37, 37]"
37,0.0677477217384472,FITC,"[3, 37, 37]","[1, 5, 6, 7, 37, 37]"
37,0.021591007812933213,FITC,"[1, 37, 37]","[3, 5, 6, 37, 37, 37, 37]"
37,-0.02976383274363535,FITC,"[5, 37, 37]","[1, 10, 37, 37]"
1,0.1956934153764034,FITC,"[6, 37, 37, 37]","[3, 37, 37, 37, 37, 37, 37]"
6,-0.4402802112901431,FITC,"[1, 3]","[7, 37, 37, 37, 37]"
3,0.33967808713146774,FITC,"[6, 7, 37]","[1, 37, 37]"
7,-0.2461305698425329,FITC,[3],"[6, 37]"
37,0.04789938964395134,FITC,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.02309643010297693,FITC,"[5, 37, 37]","[6, 6, 37, 37]"
37,0.11882232459116887,FITC,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,-0.01949868098622708,FITC,"[5, 37, 37]","[5, 6, 37, 37]"
37,-0.04686266421088956,FITC,"[5, 37, 37]","[1, 5, 37, 37]"
6,-0.5078223799058896,FITC,"[29, 37]","[37, 37]"
6,-0.45613755645975995,FITC,"[37, 37]","[37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
