atoms,charge,origin,bond1,bond2
3,0.17029172373753163,0,"[10, 10, 16]","[1, 28, 28, 37]"
10,-0.3327622152108644,0,"[3, 28, 37]","[10, 16, 37, 37]"
37,0.040658111118806434,0,"[10, 37, 37]","[3, 5, 5, 28, 37, 37]"
37,-0.03766687408537211,0,"[5, 37, 37]","[5, 10, 37, 37]"
37,-0.045155554979740165,0,"[5, 37, 37]","[3, 5, 37, 37]"
37,0.06774773289566849,0,"[3, 37, 37]","[1, 5, 6, 7, 37, 37]"
37,0.021591709291381756,0,"[1, 37, 37]","[3, 5, 6, 37, 37, 37, 37]"
37,-0.029722351561410287,0,"[5, 37, 37]","[1, 10, 37, 37]"
1,0.19569342099432022,0,"[6, 37, 37, 37]","[3, 37, 37, 37, 37, 37, 37]"
6,-0.44028021126643735,0,"[1, 3]","[7, 37, 37, 37, 37]"
3,0.33967808717512665,0,"[6, 7, 37]","[1, 37, 37]"
7,-0.24613056984244341,0,[3],"[6, 37]"
37,0.04789938966687379,0,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,0.13857990868641273,0,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.023096430102976965,0,"[5, 37, 37]","[6, 6, 37, 37]"
37,0.11882232459116887,0,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,-0.01949868098622704,0,"[5, 37, 37]","[5, 6, 37, 37]"
37,-0.04686266421084657,0,"[5, 37, 37]","[1, 5, 37, 37]"
6,-0.5078223799058896,0,"[29, 37]","[37, 37]"
6,-0.4561375564597599,0,"[37, 37]","[37, 37, 37, 37]"
37,0.13857990868641273,0,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.04789938966687379,0,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,-0.04686266421084657,0,"[5, 37, 37]","[1, 5, 37, 37]"
37,-0.01949868098622704,0,"[5, 37, 37]","[5, 6, 37, 37]"
37,0.11882232459116887,0,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,0.023096430102976965,0,"[5, 37, 37]","[6, 6, 37, 37]"
6,-0.5078223799058896,0,"[29, 37]","[37, 37]"
16,-0.040760018780212126,0,[3],"[10, 10]"
10,-0.3619321883236369,0,"[1, 3, 28]","[1, 5, 5, 10, 16]"
1,0.02560534941236028,0,"[1, 5, 5, 10]","[3, 3, 5, 5, 28]"
1,0.04391371014525435,0,"[1, 3, 5, 5]","[5, 5, 7, 10, 10]"
3,0.22199294465341632,0,"[1, 7, 10]","[1, 1, 5, 5, 28]"
7,-0.27504455598885136,0,[3],"[1, 10]"
10,-0.3420070425064177,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.133497814224302,0,"[1, 3, 5, 10]","[1, 3, 5, 6, 7, 10, 28]"
1,0.0804427203447988,0,"[1, 1, 5, 6]","[3, 5, 5, 5, 5, 10, 21]"
6,-0.39071690604424447,0,"[1, 21]","[1, 1, 5]"
1,-0.03637742107221395,0,"[1, 5, 5, 5]","[1, 5, 6]"
3,0.245417932167546,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27258858426456817,0,[3],"[1, 10]"
10,-0.34243037591076736,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.1078565376876201,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.020665269767419957,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788139336326,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423982036,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.27836340881899807,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24272916582597967,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
